biographical_information,borough,category,enactment_year,introduced_by_council_members,limits,new_name,present_name,zip_code,objectid,intro_number,paths
"Alexander M. Bing founded Bing and Bing with his brother Leo, one of New York City’s most important real estate developers in the early 20th century.  He was also a member of the Regional Planning Association of America, president and chef financer of the City Housing Corporation and co-founder of the Friends of Whitney Museum of American Art and a board member of the museum.  He founded the City Housing Corporation, a limited dividend construction company whose mission was to develop affordable residences for the middle class.  He frequently called on charitable foundations and insurance companies to set aside a small portion of their resources to fund projects in Sunnyside, Queens.  In Sunnyside Gardens, he effectively persuaded his fellow investors to set aside nearly 3 acres in order to provide the largest private park in New York City, a playground for children and adults of the neighborhood which became Sunnyside Park, which opened on May 18, 1926. ",Queens,Intersection,1531670400000.0,Van Bramer ,At the intersection of 49th Street and 39th Avenue ,Alexander M. Bing Place,,11377.0,7787.0,Int. No. 988,"40.74901943400005,-73.91467050399996"
Kalyana Ranasinghe was killed in the line of duty when he was struck by a street-cleaning truck in Manhattan.  He was an NYPD traffic officer who was writing parking tickets when he was killed.         ,Bronx,Intersection,1437580800000.0,Palma,At the intersection of Metropolitan Avenue and Wood Road , Kalyana Ranasinghe Way ,,10462.0,7788.0,Int. No. 620			,"40.835520183000035,-73.86122600799996"
"Curtis Hamilton was a Bronx resident for many years of his life. He graduated from William Howard Taft High School and pursued a degree in Early Childhood Education at Bronx Community College. He served as a Chaplain for The New York State Chaplain Worker’s Task Force in the Bronx and first a Deacon, then an ordained Elder at Greater Cathedral Liberty Church. Through his leadership, the quality of life of residents, businesses, community-based organizations and the community-at-large significantly improved, particularly with the steady increase of participation in the precinct council meetings of both residents and most importantly, the youth. He successfully challenged all to come together and work as a community. He was dedicated to the 42nd Precinct Community Council for many years. He served on the Board as Treasurer from June 21, 2012 to September 22, 2016, Vice President from September 22, 2016 to June 22, 2017, and President from June 22, /2017 until his sudden death on April 14, 2020. Not only did he receive numerous honors and recognitions, but he also set the standard for National Night Out with his compelling personality, commitment, and dedication. He was able to attract visits from such luminaries as the Mayor, Council Members, Senators, Assembly Members police commissioners and community leaders from all over the city. He was extremely successful at getting participation from officers of the 42nd Pct. on their own time, as well as people and businesses within and outside of the precinct community. They not only gave materially but participated in the festivities. food, games, and fun that are a part of everyone’s Night of unity, but it was his unwavering commitment to the youth of the Bronx that was showcased by the ever-growing success of National Night Out of the 42nd Precinct. He was able to take the festivities to another level with live musical performances by the renowned performing youth of “The World of Renaissance Youth Center.” These showcases have been life changing for many of those youth. His plan for 2020 and 2021 was to move the National Night Out event to the very street and location we are requesting the re-naming. This is not only appropriate, but quite fitting to honor his many years and contributions to the 42nd precinct community. He was an educator, lecturer and motivational speaker, NYPD clergy liaison and N.Y.S Chaplin. He was also an active member of Bronx Community Board 3, and local community activist and leader.  He promoted civic engagement and community partnerships.  ",Bronx,Intersection,1657900800000.0,Gibson and Salamanca,At the intersection of Washington Avenue and East 163rd Street ,Curtis Hamilton Way ,,10451.0,7789.0,Int. No. 2477,"40.82463709700005,-73.91057823499993"
Tino was shot and killed in a robbery at Telco Stores while protecting his sister and other co-workers. ,Brooklyn,Intersection,1092585600000.0," Recchia, Jr. ",the northeast corner of the intersection of Avenue U and West 9th Street ,Constantino Tino DeCorato Way ,,11223.0,7790.0,Int. No. 471-A,"40.59627401800003,-73.98029590499993"
"Roy E. Smith grew up in Staten Island and joined the United States Air Force at 17 and quickly rose through the ranks, achieving the rank of United States Air Force sergeant and became the youngest staff sergeant in the USAF when he was promoted to that rank at that time.  He served in Vietnam and upon his return home, he joined the FDNY at Engine 16, Ladder 7 in Manhattan and Engine 156 in Staten Island.  He was a responder during the 9/11 terrorist attacks at the World Trade Center and later died as a result of 9/11 related illness. ",Staten Island,Intersection,1500825600000.0,Rose ,At the southwest corner of Forest Avenue and Broadway ,Firefighter Roy E. Smith Way ,,10310.0,7791.0,Int. No. 1744,"40.628876957000045,-74.11624935199995"
"Samuel Browne was born in Washington, D.C. and enlisted in the Army in 1898 during the Spanish American War.  After the war, he eventually purchased a home for him and his family in Castleton Corners, Staten Island.  During this time in 1924, Castleton Corners was an all-white neighborhood.  When neighbors heard that an African-American family had moved into the area, they lobbied together to try and purchase the house to get the Browne family out of the neighborhood.  When that failed, marches and demonstrations were organized outside their home.  Rocks were thrown at the house, their lawn and hedges were destroyed and crosses were burnt on the lawn with letters sent to the house signed by the KKK.  His children were verbally and physically abused while they attended PS 29.  These acts of violence and abused occurred for over a year until a group of African-Americans banned together to form the Staten Island Chapter NAACP to help provide support and assistance for the Browne family. ",Staten Island,Intersection,1531670400000.0,Rose and Matteo ,At the southeast corner of Fairview Avenue and Knox Place ,"Samuel A. Browne, Sr. Way ",,10314.0,7792.0,Int. No. 988,"40.61544228500003,-74.11848097799997"
"Terence Cardinal Cooke was ordained a priest in 1945 and served as chaplain for St. Agatha’s Home for Children in Nanuet. Later he was appointed an Auxiliary Bishop of the Roman Catholic Archdiocese of New York by Pope Paul VI. In March 1968, he was named the seventh Archbishop of New York and was also named Vicar Apostolic for the United States Military. In 1969, he delivered the benediction at the inauguration of President Nixon. As archbishop, he founded Birthright, which offers women alternatives to abortion, the Inner-City Scholarship Fund, which provides financial aid for Catholic School students, an Archdiocesan Housing Development Program providing housing to the City’s disadvantaged and nine nursing homes. After his death, there was a movement to canonize him as a saint. In 1992, the Congregation for the Cause of Saints designated him as a Servant of God, the first step in the process that leads to beautification and then canonization as a saint. Documentation of Cooke’s life’s work was presented to Pope Benedict XVI in 2010. If approved, Cooke will receive the title Venerable, the second step leading to sainthood. ",Manhattan,Intersection,1626451200000.0,Ayala,At the southeast corner of Fifth Avenue and East 106th Street ,Terence Cardinal Cooke Way ,,10029.0,7793.0,Int. No. 2187,"40.79426958100004,-73.95109107399996"
"Born Marcelino Manoel da Graca on the island of Brava in Cape Verde, he immigrated to the United States via Massachusetts at the age of 19 and assumed the name Charles Manuel Grace. In Massachusetts, he was ordained a minister by Charles Harrison Mason, founder and presiding bishop of the Church of God in Christ and he then established his first congregation. In 1919, he subsequently established the United House of Prayer for All People. After years of expanding the network of churches under the United House of Prayer for All People, he formally established a church in Harlem in 1933 located at 336 West 126th Street. As the number of congregants grew, in 1938, the church relocated to its current location at 271 West 124th Street. Under his leadership, programming at the United House of Prayer for All People encouraged strong families, education, youth services, music, and adult literacy through programs sponsored by the church. The Bishop was patriotic and had each of his churches painted red, white, and blue. The Bishop contributed $10,000 to the U.S. Government during World War II, as he was impressed by the gallantry of the “Harlem Hellfighters.”  Bishop C.M. “Sweet Daddy” Grace addressed social problems in Harlem; he ran a soup kitchen to help the local hungry; he insisted upon local community-based labor on his construction projects to address local unemployment; he also allowed for a retail store on West 125th Street to serve as an incubator space rented by local entrepreneurs. Bishop C.M. “Sweet Daddy” Grace also led public seminars to teach local Harlem residents how to access new programs including Social Security, Workers Compensation, and Unemployment Compensation for educational purposes. By the time of his passing in 1960, Bishop C.M. “Sweet Daddy” Grace had launched over 100 churches across the United States and had an established presence globally.  ",Manhattan,Intersection,1657987200000.0,Perkins,At the intersection of West 124th Street and Frederick Douglass Boulevard ,Bishop C.M. “Sweet Daddy” Grace Lane ,,10027.0,7794.0,Int. No. 2477,"40.80947657200004,-73.95166196599996"
"Pedro Albizu Campos grew up in San Juan Puerto Rico, without financial support or legal recognition from his father. Despite this, in 1912, he was awarded a scholarship to study Chemistry and Engineering at the University of Vermont. He then transferred a year later to Harvard University, majoring in Chemistry and Literature, becoming the first Puerto Rican Harvard graduate. He then served during World War I with the all-Puerto Rican 375th Infantry Regiment and was discharged as a 1st Lieutenant. While serving, he encountered extensive racism, eventually leading him to reject official posts offered by the United States and returned to Puerto Rico to fight for Puerto Rico’s independence. He advocated for better education opportunities, affordable housing, and improved working conditions. He has since acted as a symbol of what it is to overcome systemic adversity and dedication to improving other’s lives. He served as president and spokesperson of the Nationalist Party of Puerto Rico from 1930 until his death. There is a high school named for him in Chicago, New York City PS 161 is named after him, as well as the Campos Plaza Community Center and housing project in Manhattan. ",Brooklyn,Intersection,1688832000000.0,Gutiérrez,At the intersection of Graham Avenue and Boerum Street,Pedro Albizu Campos Way,,11206.0,7795.0,Int. No. 1102-A,"40.70588331800007,-73.94296129899992"
"Alberto Francesconi made the ultimate sacrifice for his community as well as his country when he was killed in action in Afghanistan on December 29, 2008. ",Bronx,Intersection,1249228800000.0,Rivera ,At the intersection of East 187th Street and Park Avenue ,Lance Corporal Alberto Francesconi Place ,,10458.0,7796.0,Int. No. 1103-A,"40.85839102100003,-73.89299199599998"
"Murray H. Berger, 98 and Carol Berger, 94, were dedicated public servants and community advocates whose contributions are legendary. Community activism defined both Murray’s and Carol’s lives. Their contributions to Kew Gardens’ community are significant. Murray served in many organizations, often assumed leadership and executive roles. Most notable were his role as president of Kew Gardens Civic Association, Kew Gardens Council for Recreation and the Arts, and leadership roles in the Community Preservation Coalition, and Shorewood Civic Association on Shelter Island, New York. As a professional, Murray was a printer and business owner. He started his printing career in NYC in 1947 at The Comet Press. There, he served as a Production Manager. In 1972, he became President of Howard O. Bullard Co., a major NYC typography firm. He was also Vice President of Graphic Arts Management Corporation, which included his consultative work for the US Government Printing Office. Later, he was the owner of two NYC printing companies. He attended NYC’s PS 149, 158, 182, JHS 149, graduated from Townsend Harris High School in 1940 and from City College of New York in 1947. In WWII, he served in the US Army in North Africa and Italy, attaining the rank of Technical Sergeant. Carol W. Berger, in her own rights, imprinted her unique and stellar civic brand on the Kew Gardens community that will endure for generations to come. Over the years, Carol was instrumental in getting a new wing added to PS 99, including a cafeteria, kitchen, gymnasium and several classrooms, and the creation of the Leah Weinberg Early Childhood Center (PS 99 Annex). Her advocacy and foresight also lead to the creation of the pocket park on Austin Street as a sitting space for residents. Carol spread her civic activist wings and founded the Citywide Confederation of High School Parent Associations to widen and strengthen the impact of all participating schools, and she served as a former Parents Association president of PS 99 and Hillcrest High School respectively, including being a member of Community Board 9. Both Murray and Carol have been recognized by elected officials and affiliated colleagues for their exceptional community activism and advocacy and honored with numerous accolades for their outstanding leadership and indomitable community spirits in making a difference.",Queens,Intersection,1719504000000.0,Schulman,At the intersection of 83rd Avenue and Kew Gardens Road,Murray & Carol Berger Way,,11415.0,7797.0,Int. No. 1278,"40.71094601000005,-73.82809796099997"
"Martin Trainor was the co-founder of Woodside on the Move, a community organization that sponsors tenant advocacy, affordable housing, youth development, education and training services, senior services, business services, and arts and cultural programs.  The Woodside on the Move After School Programs at P.S. 152Q and PS 11 serve approximately 500 elementary school children each year.  He worked as a law clerk for Manhattan District Attorney Hogan while attending law school and later taught at Notre Dame University and served as president of the First Avenue Boys in Manhattan.  He began his law practice with Donald F. Menagh, Esq. and for forty years, he focused his practice on fighting for rights of union members and their families.  He became very active in the Woodside community through the Anoroc Democratic Club and St. Sebastian’s Church.  He also served as Church Trustee, Chair of the Fundraising Committee, Financial Council, a Lector and member of the Holy Name Society and Senior Leisure Club.  He was also a member of the Knights of Columbus, Community Board 2 and President of the Board of Directors of the Woodysun HDFC (Sunnywood Apts.).   

 ",Queens,Intersection,1262365200000.0, Van Bramer ,At the intersection of 58th Street and Roosevelt Avenue ,Martin M. Trainor Way ,,11377.0,7798.0, Int. No. 428-A,"40.74537899400007,-73.90662499399996"
"Carlos Lezama, known as the father of the City’s annual West Indian American Day Carnival.  The original Carnival in New York City took place in Harlem, and beginning in the mid 1960’s, Carlos Lezama directed his efforts, with his friend Rufus Goring, to firmly establishing Carnival in Brooklyn.  By promoting the culture of Caribbean people and enriching the cultural life of New York City, Mr. Lezama was officially recognized and honored by four New York State governors, including Governors Nelson Rockefeller, Hugh Carey, Mario Cuomo and George Pataki, as well as every New York City Mayor since John Lindsay. ",Brooklyn,Intersection,1217606400000.0,James , At the northeast corner of Brooklyn Avenue and St. John’s Place , Carlos Lezama Way   ,,11213.0,7799.0,Int. No. 825			,"40.67142446800004,-73.94471185899994"
Alfonso Compitiello owned and operated Alfonso’s Pastry Shoppe since 1969. The shop made an appearance in the film Easy Money starring Joe Pesci and Rodney Dangerfield.,Staten Island,Intersection,1719504000000.0,Carr,At the intersection of Victory Boulevard and Westcott Boulevard,Alfonso Compitiello Way,,10314.0,7800.0,Int. No. 1278,"40.612761902000045,-74.12711856999994"
"Lance Cpl. Michael V. Postal, a Queens, NY native, was killed in action in Iraq from an improvised explosive device during a convoy in Company L’s area of operations. He left his home in New York and sacrificed everything to bring freedom to others. ",Queens,Intersection,1185984000000.0,Weprin,Union Turnpike and 259th Street,Lance Cpl. Michael V. Postal Triangle ,,11004.0,7801.0,Int. No. 556-A,"40.746506443000044,-73.71270496999995"
"Rayquon Maurice Elliot began modeling for his relatives clothing line “Ruff Ware” when he was 14 years-old. He also had a passion for dancing and regularly took lessons at the Devore School for Dance. He, along with some friends, formed a dance group named the “True Playaz.” He was committed to dance and would attend practice and lessons by using roller blades as his only means of transportation. The True Playaz would go on to compete in a city-wide talent competition known as the All-Stars. The group had a lot of success, including performing at the Apollo and later star in music videos for acts like 702 and Busta Rhymes. His love for dance ultimately developed into a love for music. His early performances started out at events held at Bayswater Park. By the age of 19, his rap career was beginning to develop. He traveled to Chicago where he met up with Lupe Fiasco. As Stack Bundles, he was signed by Lupe Fiasco. As his skills grew so did his fame, success and popularity. He became a household name. His songs were played on radio stations, such as Power 105.1 and Hot 97.1, Myspace, Spotify and YouTube. A pillar of his community, he loved children and would regularly treat them to pizza from Gino’s Pizza or ice cream from a Mr. Softee truck. He encouraged youth to stay in school and to stay out of trouble. He was shot and killed in the lobby of his building in the Redfern Houses in Far Rockaway. In 2010, to memorialize his life and his contributions to his community, his sister organized a stop the violence basketball tournament. With the help of the late Manny Fiallo, Jr., the tournament began bringing peace and harmony to a community ravaged by violence.  ",Queens,Intersection,1688832000000.0,Brooks-Powers,At the intersection of Hassock Street and Beach Channel Drive,Rayquon M. Elliott “Stack Bundles” Way,,11691.0,7802.0,Int. No. 1102-A,"40.60956239000006,-73.75359736999995"
"The Giglio Society of East Harlem dates back to 1908 when Italian immigrants continued their tradition from their hometown of Brusciano in Italy. Giglio is a 75-85 foot tall wooden structure adorned with patron saints and colorful flowers. They are built in honor of an Italian town’s patron saint. They structure is carried on the shoulders of approximately 120 men in a ritual that dates back to 409 A.D. in the town of Nola, Italy. These annual feasts take place in August throughout Italy and here in the United States. The name giglio means lily, which is the most principal flower used on the structures. This ongoing tradition has been celebrated for over a century throughout the city, particularly East Harlem. This is a tradition that adds value to the cultural fabric of East Harlem, as well as Italian- American history in our country. ",Manhattan,Intersection,1561996800000.0,Ayala ,At the southwest corner of East 115th Street and Pleasant Avenue,Giglio Way,,10029.0,7803.0,Int. No.  1631,"40.79438098300007,-73.93365503899997"
"Flora ‘Flo’ Iannarelli was a teacher, a trainer and an EA, through which she helped many principals, teachers and students. A Go-Fund Me page has been set up in her name to present 8th grade students with a Scholarship Award at graduation. Twenty-nine Brooklyn schools in District 21 receive the scholarship awards for distribution. In addition, the Flora Iannarelli Leadership Award and the Flora Iannarelli Literary Award have been established. ",Brooklyn,Intersection,1704128400000.0,Brannan,At the intersection of Bay 49th Street and Harway Avenue , Flora ‘Flo’ Iannarelli Way      ,,11214.0,7804.0,Int. No. 968			,"40.58830900000003,-73.98521898699994"
"James Prince was a vital anchor on Mermaid Avenue for over 60 years. He was the longtime owner of Major Markets Prime Meats on Mermaid Avenue which he began working at in 1949 until it closed in April 2009. The store was one of the few that survived the poor economy of the 1960’s and 70’s. There is a documentary on his life behind the counter of store interacting with customers called, “Jimmy Prince: The Prince of Mermaid Avenue.” He was honored with the Legacy Award by the Alliance for Coney Island and still served the community after his retirement by volunteering at the Coney Island History Project. He was very involved with Community Board 13, was a donor to the first Coney Island Mermaid Parade in 1983, and many more after and gave out free food to those in need. After he retired, he still attended community events and also became a volunteer at the Coney Island History Project and volunteered at beach cleanups on Coney Island Creek.",Brooklyn,Intersection,1688313600000.0,Kagan,At the intersection of West 15th Street and Mermaid Avenue,Jimmy Prince Way,,11224.0,7805.0,Int. No. 897  ,"40.57678052200003,-73.98272244899994"
"Loretta V. Ruddock was born in Westmoreland, Jamaica, where she completed her formative years and attended primary school.  She continued her education throughout her youth after moving to England and studied further after migrating to the United States of America.  She was well known community advocate in Morris Heights in the Bronx and also throughout the City of New York.  She volunteered and worked tirelessly, day in and day out for decades for the betterment of the community and those within. She worked on many issues and concerns from housing needs, education and services for youths, policing and public safety and gathered strong support from local elected officials.  She received many awards, honors, tributes and accolades for her civic service. She was elected to the City of New York Bronx School Board District Nine and served as a member of the Board of Directors of the Mt. Hope Housing Company, Inc. as Board Secretary.  She supported Bronx Community Board Five and the 46th Precinct Community Council.  She was a member of Charity Baptist Church of CHRIST in the Bronx for 42 years.  She served as Treasurer of the Board of Trustees of Charity and also held other leadership roles at the church including chair of the building fund and Community Liaison.  For decades, she purchased flowers to donate for the beautification of the church on each Sunday and also used those flowers to distribute them to people she knew in hospitals and ill at home in need of a spiritual uplift.  ",Bronx,Intersection,1468598400000.0,Cabrera,At the intersection of West 174th Street and Davidson Avenue ,Loretta Ruddock Smith Way ,,10453.0,7806.0,Int. No. 1054,"40.84653020600007,-73.91443885599993"
"Fire Lieutenant Robert Nagel began his career with the FDNY in 1973, and was promoted to Lieutenant on June 9, 1988.  He served the community at Engine Company 58 in Harlem from June 9, 1990, until his death in the line of duty on 9/11/01. ",Manhattan,Intersection,1217606400000.0,Dickens, At the intersection of East 114th Street and 5th Avenue , Lt. Robert Nagel Way   ,,10026.0,7807.0,Int. No. 825			,"40.799324670000026,-73.94739611099999"
"Teitel Brothers Wholesale and Retail Grocery Company is located at 2372 Arthur Avenue in Little Italy of the Bronx.  A third generation, family owned and operated business, Teitel Brothers offer the finest Italian imported, gourmet specialty items and the lowest retail and wholesale prices at market value. Jacob and Morris Teitel, brothers and Jewish Austrian immigrants, first arrived in America, through Ellis Island, in 1912.  Tailors by trade, the brothers assimilated to the area, people, customs and way of life.  In 1915, Jacob and Morris decided to start a new business together and opened Teitel Brothers Grocery Store.  Although the neighborhood was, predominantly, Italian, it was not uncommon to find merchants of Jewish descent.  In fact, Jacob learned to speak Italian before he learned to speak English. The family lived upstairs from the grocery store in a three bedroom apartment with five people. At the foot of the store’s entrance sits a mosaic tile Star of David.  Jacob had the Jewish Star installed during the Great Depression. Culture, religion and family values are at the heart of what makes Teitel Brothers still in business today. The store is run by Gilbert and his sons Jean, Michael, Eddie and Billy Fassbender, Eddie’s childhood friend. Teitel Brothers is open year round Monday-Saturday, 7:00am-5:30m, except for Jewish Holidays. The store is, always, stocked with the best olive oils, tomatoes, jarred and bulk olives, aged vinegars, beans, pastas, imported and domestic cheeses, baccala, prosciutto, soppressata, fresh and dried sausages, flours, rice, nuts, candied and dried fruits, cookies, panettones, and much more. For over 100 years, Teitel Brothers has catered to a vast and distinctive clientele, including neighborhood retail customers and wholesale grocery stores and restaurants spanning the tri-state area and beyond. ",Bronx,Intersection,1626537600000.0,Treyger,At the intersection of Arthur Avenue and 186th Street ,Teitel Brothers Lane ,,10458.0,7808.0,Int. No. 2187,"40.85477519500006,-73.88813622099997"
"Msgr. Andrew F. Quinn was former pastor of Sacred Heart Roman Catholic Church in West Brighton, Staten Island.  He grew up in the Bronx and attended Our Lady of Mercy.  Upon receiving his bachelor degree from Fordham University, he entered the North American College in Rome, and was ordained on October 28, 1934.  He completed his doctoral degree of cannon law in 1937 at Pontifical Gregorian University. 

Upon returning to the US, he became pastor of Holy Name Church in New Rochelle, NY.  In 1938, he was named Assistant Chancellor of the Archdiocese of New York.  IN 1939, he became the auditor of the Matrimonial Tribunal.  In 1948, he was promoted to Pro-Synod Judge and in 1959 he was named Vice Officialis of the Tribunal.  He became President of the Cannon Law Society of America in 1961 and was designated to help prepare the draft of the revision of the Cannon Law in 1963.  In 1962, he was named pastor of Sacred Heart, where he remained until he retired in 1983.  He served on the Board of Directors of the Staten Island chapter of the American Red Cross, Board of Trustees of St. Vincent’s Hospital in West Brighton and at St. Joseph by the Sea High School in Huguenot. ",Staten Island,Intersection,1091808000000.0,McMahon ,the southeast corner of the intersection of Castleton Avenue and North Burgher Avenue ,Monsignor Andrew F. Quinn Way,,10310.0,7809.0,Int. No. 281-A,"40.63475899400004,-74.11454103599992"
"Joseph V. Madory was a lifelong Staten Islander who served in the United States Army and served as a private first class. He played semi-pro football for the Staten Island Tigers. Before becoming an officer at Gateway Bank, he worked as a driver for Blue White Laundry and then served as a vice president of the Automobile Club of North Jersey. He was president of the Staten Island Chamber of Commerce.  He visited Africa, Grenada, St. Lucia and Trinidad where he worked with the nuns of St. Joseph of Cluny to continue to help people in need. While in Trinidad, he attended a ""Poor People's Dinner"" run by a local charity, where the meal consisted of a piece of bread, water and a bowl of soup. All the proceeds went to charity. He introduced the idea to Staten Islanders and for many years afterwards, ballrooms across the Island were packed, sometimes with 1,000 attendees, paying $100 for a similar meal. When a hurricane hit the island of Dominique, he helped arrange for hospital beds to be shipped as part of the relief efforts. He served as president of the Staten Island Rotary, he hosted a live call-in show on Staten Island Community TV in the early 90s. He also served on the boards of the Mission of the Immaculate Virgin at Mount Loretto, the Staten Island Inter-Agency Council for Aging and Carmel Richmond Healthcare and Rehabilitation Center. He was also a member of the Borough President's Task Force on Bias Reduction, the Staten Island University Hospice Advisory Board and the Alzheimer's Association Advisory Board. He received the Albert V. Maniscalco Award, named for Staten Island’s ninth borough president, in recognition of his ongoing community service. He was also the first recipient of the Barney Weinberg Award at the annual convention of International Rotary's District 7230, encompassing Westchester, Manhattan, Staten Island, the Bronx and Bermuda. ",Staten Island,Intersection,1657382400000.0,Carr,At the intersection of Richmond Road and Bancroft Avenue ,Joseph Vincent Madory Way ,,10306.0,7810.0,Int. No. 480-A,"40.57915714700005,-74.11478344099997"
"Mariano Rivera is known as The Great One, the Sandman, the Hammer of God, and Mo.  A five-time world champion playing with the New York Yankees from 1995 until 2013, he is considered the best closing pitcher in the history of baseball.  He is Major League Baseball’s all-time leader in post-season saves and post-season Earned Run Average (ERA).  He was a 13-time All-Star, won five American League Rolaids Relief Man Awards, three Delivery Man of the Year Awards and finished in the top three in voting for the American League Cy Young Award four times.  He is Major League Baseball’s career leader in saves with 652 and games finished with 952.  He donates more than $500,000 annually to underprivileged children in the United States and his home country of Panama.  He founded the Mariano Rivera Foundation which provides a range of services including mentoring programs and creating computer labs that provide underprivileged students with resources. ",Bronx,Intersection,1375113600000.0,Arroyo, At the intersection of 161st Street and River Avenue ,Rivera Avenue,,10451.0,7811.0,Int. No. 1188-A		,"40.82766820200003,-73.92603496699995"
"Mr. Sylvester Royer was a longtime resident of the 14th council district. Mr. Royer was an immigrant from the Commonwealth of Dominica and raised his family here for over 45 years. Mr. Royer was instrumental in organizing and maintaining a tenant association in his building where residents and the tenant association still remember him. He graduated from Lehman College with a degree in Psychology and has been a supporter of many of the local businesses in the area. Some of his community advocacy includes attending community board meetings, advocating for the rights of individuals with disabilities and showing many community residents ways to grow plants, fruits and vegetables. Sylvester Royer will be remembered by these simple words that he regularly preached: ""Keep what matters in sight."" Mr. Royer passed away last year during the pandemic and is survived by his two adult children and six grandchildren. ",Bronx,Intersection,1657900800000.0,Cabrera,At the intersection of Creston Avenue and 193rd Street ,Sylvester Royer Corner ,,10468.0,7812.0,Int. No. 2477,"40.865835919000055,-73.89601501399994"
"Officer Thomas P. Ruotolo was killed in the line of duty on February 14, 1984 responding to a call at the corner of 149th Street and Bruckner Avenue in the Bronx. A three-year member of the force, assigned to the 41st Precinct, Officer Ruotolo received eight citations for outstanding service in his time with the NYPD. Officer Ruotolo graduated from Long Island University with a master’s degree in criminal justice.  ",Bronx,Intersection,1531670400000.0,"Salamanca, Jr. ",At the intersection of Southern Boulevard and Intervale Avenue ,Officer Thomas P. Ruotolo Corner ,,10459.0,7813.0,Int. No. 988,"40.817355765000045,-73.89522350999994"
Joseph M. Rota was one of the great civic leaders in the Whitestone community who spent many years of his life committed to the betterment of his community as President and Chairman of the Board of the Greater Whitestone Taxpayers and Civic Association and as a member of Queens Community Board 7. ,,,,,,,,,,,
 ,Queens,Intersection,1185984000000.0,Avella,Intersection of 3rd Avenue and 147th Place ,Joseph M. Rota Place ,,11357.0,7814.0,Int. No. 556-A,"40.79656363000004,-73.82186646499996"
Nicholas J. DeMasi was a firefighter stationed at Engine Company 261 for many years.  He was a responder during the 9/11 attacks and spent many months after working on the cleanup of Ground Zero.  He retired in 2004 and later died of 9/11-related cancer. ,Queens,Intersection,1500739200000.0,Constantinides ,At the intersection of 77th Street and 21st Avenue ,Firefighter Nicholas J. DeMasi Way ,,11370.0,7815.0,Int. No. 1744,"40.77052229600002,-73.89282493599995"
"Cooper Stock was 9 years-old when he was struck and killed by a taxi cab driver who failed to yield to a pedestrian.  His tragedy called for legislators to review legislation that would amend the city’s administrative code to allow, pending an investigation, for suspension and automatic revocation of a TLC license if a driver kills or maims someone as a result of a failure to yield.   ",Manhattan,Intersection,1437580800000.0,Rosenthal,Northwest corner of West End Avenue and West 97th Street (300 Block) , Cooper Stock Way   ,,10025.0,7816.0,Int. No. 620		,"40.79594940600004,-73.97280816599994"
"Malik Taylor was a rapper known as Phife Dawg who was a member of A Tribe Called Quest, a hip-hop group from New York which broke up and reunited multiple times through the years.  A Tribe Called Quest formed in 1985 and released five albums that sold millions of copies.  The groups’ album Midnight Marauders is often ranked as one of the best hip-hop albums of all-time.  He released a solo album in 2000 called Ventilatio: Da LP.  He died from complications from diabetes. ",Queens,Intersection,1468857600000.0,Miller,At the intersection of 192nd Street and Linden Boulevard ,Malik ‘Phife Dawg’ Taylor Way ,,11412.0,7817.0,Int. No. 1227,"40.69246285800007,-73.75940792899995"
"John Jay McKelvey, Sr. was an American author, attorney, and preservationist who set precedents in establishing the Harvard Law Review and in framing case law to craft the environs of his Spuyten Duyvil community, New York. He also built the Villa Rosa Bonheur’s sisters, the Villa Charlotte Brontë and Villa Victoria around the same time, was alarmed by the wave of high-rise “city ugly” development spreading through New York City at the time. His answer was to construct cooperative apartments resembling villas, the famous “City Beautiful” movement of the early twentieth century. Mr. McKelvey’s legacy in Spuyten Duyvil includes not just the three “Villas” (Rosa Bonheur, Charlotte Brontë and Victoria but also as the secretary and director of the two entities the Along-the-Hudson Company and the Edgehill Terrace Company, the development footprints of each are still apparent today. He was an attorney for the Edgehill Co-Operative Savings & Loan Association; member of the Contracts and Bronx, and Executive Committees of the Hudson–Fulton Celebration Commission of 1909; secretary of the Henry Hudson Monument Committee of 1909; founding member, trustee and incorporator of the Edgehill Church, attorney, secretary, the District Protective League and as trustee of the Barnard School for Boys (now part of Horace Mann School). At the turn of the twentieth Century, the Park District Protective League (PDPL) was an organization of exclusivity, but over the years took on a preservationist role in Riverdale. Riverdale Park was created by the contributions of landowners convinced by the PDPL of the need to protect the green space from the encroaching development of the city. In the 1950’s, the PDPL became the Riverdale Community Planning Association, which went on to champion the rezoning of Riverdale and the environmental protections of the Special Natural Area District regulations. Without the stewardship and influence of John McKelvey, Sr. in those early years, it is quite possible that Riverdale would be a very different place from the place we call home today. His contribution to the modern development of the Spuyten Duyvil community was noted in obituaries both local and national, when he passed away in 1947 at the age of 84. His practice of law included a preservationist vision which resonates today in the picturesque tranquility of our green space and our sustained commitment to a planned and balanced community, and for this inspiration we owe him great thanks. ",Bronx,Intersection,1657900800000.0,Dinowitz,At the intersection of Independence Avenue and Palisade Avenue ,John McKelvey Sr. Way Villa Rosa Bonheur ,,10463.0,7818.0,Int. No. 2477,"40.88044405800008,-73.92231977299996"
