biographical_information,borough,category,enactment_year,introduced_by_council_members,limits,new_name,present_name,zip_code,objectid,intro_number,notes,paths
"W.E.B. DuBois was a sociologist, educator and an accomplished author and was one of the founders of the NAACP.  He was a longtime resident of Harlem.  Mr. DuBois also was a consultant to the United Nations upon its formation in San Francisco in 1945 as head of the Council of African Affairs, and received a Grand International Prize from the World Peace Council.   ",Manhattan,Street,1217606400000.0,Jackson,  From 141st Street to 155th Street , W.E.B. DuBois Avenue  , Bradhurst Avenue ,10039.0,1360.0,Int. No. 825			,,"40.820913079000036,-73.94509202899998|40.82206598300008,-73.94403523799994|40.82289558100006,-73.94327478999998|40.82328690200008,-73.94291608400002|40.82345029100005,-73.94276631199996|40.823823718,-73.94249028599994|40.824820288000055,-73.94177145399989|40.82569140800003,-73.94112753399999|40.82702937700006,-73.94016241899998|40.82825067400006,-73.93925961899996|40.82895254600001,-73.93898463899993|40.82967708600003,-73.93868154899998"
"Ronald Becker served in the United States Navy and with the New York City Police Department for 20 years.  He was assigned to the 42nd Precinct in the Bronx and made more than 50 arrests and was recognized once for Excellent Police Duty and once for Meritorious Police Duty.  He died from illnesses he contracted after inhaling toxic materials as he participated in the rescue and recovery efforts at the World Trade Center site following the terrorist attacks on September 11, 2001. ",Bronx,Street,1437235200000.0,Gibson,At 830 Washington Avenue ," P.O. Ronald G. Becker, Jr. Way  ", Washington Avenue   ,10451.0,1361.0, Int. No. 849	,,"40.82276161500005,-73.91143100999992|40.82257285100011,-73.91150611199994|40.822286659000056,-73.91135054399996"
"The Order of Sons of Italy is the largest and longest-established national organization  for men and women of Italian heritage in the United States. Founded, on Grand Street between Mott and Mulberry Street, in 1905 as a mutual aid society for early Italian immigrants, today the organization has more than 600,000 members and supporters and  a network of more that 700 chapters across the United States. It is the leading service and advocacy organization for the nation’s estimated 26 million people of Italian descent. The goals of the Order include encouraging the study of Italian language and culture in American schools and universities, preserving Italian-American traditions, culture, history and heritage and promoting closer cultural relations between the United States and Italy. ",Manhattan,Street,1091808000000.0,Gerson,between Mott Street and Mulberry Street ,The Order Sons of Italy Way,Grand Street,10013.0,1362.0,Int. No. 281-A,,"40.71931050300003,-73.99725054999988|40.71908282000005,-73.99655854000001"
"Corky Lee was an activist, journalist, photographer and community organizer. His photographs captured the lives and political activism of the Asian American community. He co-founded 21 Pell Street, an organization that holds free cultural and community events in Chinatown. He helped organize a health fair along Mott Street where residents could get free testing for lead poisoning, diabetes, tuberculosis, among other conditions. The fair was so successful that it became the forerunner of the Chinatown Health Clinic. He co-founded the Asian American Arts Alliance in 1983, which printed pamphlets for students’ protests and newsletters for local advocacy and artist groups. His photographs were featured in Time Magazine, The New York Times, The Village Voice, Associated Press, The Villager and Downtown Express. In 1988, Mayor David Dinkins dedicated May 5th to be Corky Lee Day, honoring his work and contributions to New York City. ",Manhattan,Street,1688832000000.0,Marte,Between Mott Street and Mulberry Street,Corky Lee Way 李揚國路,Mosco Street,10013.0,1363.0,Int. No. 1102-A,,"40.71446770100002,-73.99954428799994|40.714506101999994,-73.99885883399996"
"St. Brendan’s has been serving the Midwood community of Brooklyn as a Roman Catholic Church since 1907 as a place of worship, education and housing. ",Brooklyn,Street,1217692800000.0,Nelson ,  Between East 12th Street and East 13th Street , St. Brendan Way   ,Avenue O ,11230.0,1364.0,Int. No. 825			,,"40.61267000200005,-73.96178275399997|40.612754464,-73.96099994599996"
"Mary Pinkett was the first African- American woman elected to the New York City Council, and served her community by fighting passionately for the underrepresented and overlooked. ",Brooklyn,Street,1123257600000.0,James and Clarke ,Between Eastern Parkway and Lincoln Road ,Mary Pinkett Avenue ,Washington Avenue ,11225.0,1365.0,Int. No. 746-A,,"40.671503163000025,-73.96255460499998|40.66827742900006,-73.96191516600001|40.66571815900002,-73.961407863|40.663449928000034,-73.96100965299999|40.66175061700003,-73.96077361799999|40.661018042000094,-73.96067186599996"
"Dr. Norbert Sander was the last New York City resident to win the NYC Marathon in 1974.  Later, he became the CEO and founder of the Armory Track Foundation.  For the last 25 years, the Armory has been the busiest sports facilities in the country with over 125,000 athletes competing at the facility each year, far from its state of decline in the 1970’s and 80’s.  Approximately 2,000 high school students use the facility each week.  He received the Abebe Bikila Award for Outstanding Contribution to the Sport of Running in 2014 and received the 2016 City and State Reports Outstanding Achievement Community Development Award. ",Manhattan,Street,1500739200000.0,Rodriguez ,Between Broadway and Fort Washington Avenue,Dr. Norbert Sander Way,168th Street ,10032.0,1366.0,Int. No. 1613,,"40.84210328700005,-73.94216652700003|40.84118611400007,-73.94000466599998"
"Marc Haken was a Hollis civic leader who was involved in community affairs for decades. He served with Community Board 8 as chair of the Youth, Education and Library Committee, president of Hilltop Village Co-Op No. 4 and was the president of Friends of Cunningham Park for over 20 years. As president of Friends of Cunningham Park, he secured funds for equipment and programming, including summer concerts, movies and senior programs. He donated thousands of dollars in books to the Queens Library and helped create after school programs throughout the City. He also helped the borough’s Sikh community donate books on Sikh culture to the Queens Library to counteract prejudice after the 9/11 terrorist attacks. He received the Brooke Russell Astor Award from the New York Public Library
",Queens,Street,1719590400000.0,Lee,Between 204th Street and Epsom Course,Marc A. Haken Way,Francis Lewis Boulevard,11423.0,1367.0,Int. No. 1278,,"40.72456306100004,-73.76483171899996|40.723497905000016,-73.76274317199993"
"From 1950 to 1953, millions of brave Americans fought to, “defend a country they never knew and a people they never met.” Tens of thousands of United States veterans died on the battlefield and more than 100,000 were injured in battle. Thousands are still unaccounted for, Prisoners of War or Missing in Action. 

All those who served sacrificed of themselves to protect a sovereign nation and to preserve freedom and democracy throughout the world. The 50th anniversary of the 1953 Korean Armistic is rapidly approaching. The Korean War has come to be known, by some, as “The Forgotten War”. We must show these veterans, who are entering the twilight of their lives, that we have not forgotten them or the sacrifices that they have made, and that we appreciate the freedom that their efforts have afforded us. 

Although this is only a small token of appreciation, it is our hope that when ordinary American citizens pass this sign they will remember the sacrifices that have been made for them and that when veterans pass by they will know that people remember and appreciate what they have done. ",Queens,Street,1061568000000.0,Gallagher,The extension of 108th Street between Forest Park Drive and the intersection of Park Lane South and Myrtle Avenue ,Korean War Veterans Memorial Drive	,Memorial Drive	,11418.0,1368.0,Int. No. 437-A			,,"40.70260815300003,-73.84227536299991|40.702158771,-73.84199641399996|40.702069301000044,-73.84197227399994|40.70200219800004,-73.84197227399994|40.70191272800001,-73.84197227399994|40.70180292400004,-73.84197227399994|40.70172158700007,-73.84197227399994|40.701625107000055,-73.8419462429999|40.7012527090001,-73.84175195099995"
"Denis J. Butler was a lifelong resident of Astoria and a retired member of the New York State Legislature.  He volunteered with the Lighthouse for the Blind for 20 years and also served as president of the St. Joseph’s Home School Association, was a member of the Holy Name Society Parish Council.  In April 1976, he was elected to the New York State Assembly and served the 36th Assembly District including Astoria and Long Island City for 24 years.  He became Assistant Speaker Pro Tempore in 1993 and served on the Rules, Aging, Economic Development, Labor and Oversight, Analysis and Investigations Committees and on the Joint Budget Conference Committee’s Subcommittee on Higher Education, which helped to maintain and increase funding for higher education. He served as Chair of the Assembly Subcommittee on the Special Problems of the Aging. He was responsible for the MTA putting the rough paint on the edge of the subway platform to alert the visual impaired that the platform was ending.  In 1988, he was the recipient of the Brooklyn Diocese’s Pro Vita Award, presented by Bishop Francis J. Mugavero in recognition of his efforts on behalf of the unborn and in support of life. In 1992, he received the New York State Catholic Conference Public Policy Award, presented by John Cardinal O’Connor and the Bishops of New York State for his work in support of the Maternity and Early Childhood Foundation.  In 2009, he was knighted into the Papal Order of Saint Gregory the Great in Brooklyn’s St. James Cathedral Basilica by Bishop Nicholas DiMarzo. ",Queens,Street,1500739200000.0,Constantinides ,Between 43rd Street and 44th Street ,Assemblyman Denis J. Butler Way ,30th Avenue ,11103.0,1369.0,Int. No. 1744,,"40.76272638500006,-73.91250741399992|40.76251219400003,-73.91205169599996|40.76244399700005,-73.91190659899993"
"Marie Davis was a parent, teacher and activist leader in the Hunts Point community for nearly four decades. Mrs. Davis moved to 750 Faile Street in 1977, and raised her eight children there. Soon after moving to the area, Mrs. Davis began working at P.S. 48 where she touched the lives of thousands of students through her steadfast belief that every child, no matter their race, economic background or zip code, receive the best education and support possible. Mrs. Davis’ unwavering advocacy on behalf of the children she taught went hand-in-hand with her beliefs that her students should also have access to clean, healthy air. Recognizing the high asthma rates among her students, Mrs. Davis collaborated with The Point Community Development Corporation, a local non-profit that focused on the revitalization of the Hunts Point community through youth development and environmental justice. Working with The Point, Mrs. Davis became a part of the ‘Wrecking Crew,’ a group of parent activists concerned about the air quality in the South Bronx. Through this role, Mrs. Davis worked with local community officials to push for better air standards by having heavy industrial vehicles utilize roads that did not bypass schools, playgrounds, or residential blocks. ‘Miss Marie,’ as she was affectionately called by her students, came down with an illness in September 2017 and passed away shortly thereafter. Her presence is missed on a daily basis by all those who encountered her vivacious personality.  ",Bronx,Street,1657987200000.0,Salamanca,Faile Street between Lafayette Avenue and Hunts Point Avenue ,Mrs. Esther ‘Marie’ Davis Way ,,10474.0,1370.0,Int. No. 2477,,"40.81670603300008,-73.88705844699997|40.81581083700009,-73.88683582399996|40.81571746000003,-73.88688142099996"
"Fannie Pettie was born in Perry, Georgia and attended public school in Savannah, Georgia. She continued her formal training at Georgia State College and later graduated from Howard University with a Bachelor of Arts degree in Education. She also achieved her post-graduate degree in social work and housing at New York University. She relocated to Brooklyn, NY and became a Social Investigator for the Department of Social Service in Brooklyn. She was also the Director of the Cradle Roll division of Brooklyn's Nazarene Congregational Church where she assisted with the organization and development of prenatal/parenting classes and gatherings for expectant parents. She was an active member of Nazarene Congregational Church until her death. Additionally, she was an active participant in the local block association and was the link between community development workers and a range of other local authority and voluntary sector providers, such as the police, social workers and teachers. Her commitment to the Bedford Stuyvesant community and her focus on community collaboration led to the creation of a number of volunteer opportunities and community leadership roles. She was one of the co-founders of Zeta Phi Beta Sorority, Incorporated, was a Life Member and held membership with Delta Alpha Zeta Graduate Chapter in Brooklyn, New York. She is credited with organizing Omicron Beta Chapter in Brooklyn.   ",Brooklyn,Street,1562601600000.0,Cornegy Jr. ,Between Patchen Avenue and Malcom X Boulevard,Fannie Pettie Watts Way,Decatur Street ,11233.0,1371.0, Int. No. 1300,,"40.68199269200002,-73.92876193599994|40.68230999900004,-73.9260260829999"
"The Honorable Nicholas Coffinas has been called by many in the New York Judicial Community the best and finest administrator to serve in the Brooklyn Criminal Court.  He was extremely well liked, known for treating everyone he met with respect and dignity and having insight into people.  It was those qualities that enabled him to settle more cases than anyone else in Brooklyn court history.  He began his judicial career as a Criminal Court judge moving to administrator of that court and finally served as a Supreme Court judge.  He continued his service to the community after his retirement in 1995 when he was appointed by the Appellate Division as a referee to hear and dispose of cases pending appeal from the Supreme Court. ",Brooklyn,Street,1185984000000.0,Yassky,Between Boerum Place and Court Street with the sign on the southeast corner of Court and Schermerhorn Streets ,The Honorable Nicholas Coffinas Way ,Schermerhorn Street ,11201.0,1372.0,Int. No. 556-A,,"40.690979408,-73.99165521399995|40.69043273300007,-73.98992143399992"
"Freddie Dill, Sr. was not only a role model for entrepreneurs, but also a valued and active member of his community.  He has been honored by various community leaders, politicians and those who he had helped over the years.  When he moved to Jamaica, Queens, he started working at a gas station where he met Clarence Shackelford who owned a landscaping business.   Shackelford became very fond of Freddie and taught him the trade of landscaping.  From that point on, Freddie became a successful business owner by running a towing service, a tire center, a take-out and catering establishment and finally, an auto center.  Freddie Dill, Sr. was a kind and soft-spoken man whose aim was to up-lift the spirits of the people living in the community.",Queens,Street,1187539200000.0,Comrie,Between Merrick Boulevard and 174th Street," Freddie Dill, Sr. Avenue",129th Avenue,11434.0,1373.0,Int. No. 556-A	,,"40.68071575400004,-73.76411440999998|40.680066839000055,-73.76690447299995|40.67962747600005,-73.76942038499995|40.67949822000003,-73.77016053299994|40.679395588000006,-73.77097606599997"
"This section of 5th Avenue is noted for the number of museums located on it.  The attractions include the Metropolitan Museum of Art, the Museum of the City of New York, the International School of Photography, the Jewish Museum, the Museum for African Art and the Goethe House among others.  This co-naming will be extending Museum Mile to 110th Street due to the new Museum for African Art opening to the public in the fall of 2011 at the corner of Fifth Avenue and 110th Street. ",Manhattan,Street,1293901200000.0,Mark-Viverito,Between East 104th Street and 110th Street,Museum Mile ,5th Avenue ,10029.0,1374.0, Int. No. 590-A,,"40.796889839000094,-73.94924093699998|40.79299113700003,-73.952062621"
"David Oing was born on March 16, 1994 to Mary and Jeffrey Oing.  He was their first born and brought much joy and happiness to Mary’s and Jeff’s family.  Four years later, Mary and Jeff added to their family and had a daughter, Laura. 

David died an untimely death at the age of 9 on February 7, 2004, one month and nine days shy of his tenth birthday.  David lived a very full life during his brief time here with us.  He was a great friend to so many, always making people laugh and always wanting to have fun.  Much of his time over the last five years was spent playing outside on 84th Street in front of his school, St. Ignatius Loyola Elementary School.  David was also a great fan of sports, especially baseball.  His love for the NY Yankees and baseball was so deep and mature for a child his age. 

David lived each day to the fullest, always with a great big smile that lit up a room.  His memory lives on in the many hearts he touched in his short time with us. ",Manhattan,Street,1091808000000.0,Speaker Miller and Council Member Moskowitz,between Park Avenue and Madison Avenue ,David K. Oing Way ,East 84th Street ,10028.0,1375.0,Int. No. 281-A,,"40.77949436500005,-73.95964497399994|40.77897644600006,-73.95840847600002"
"Frank Pesce was raised at 214 East 29th Street between 2nd and 3rd Avenues in Manhattan. His family lived in that building for 26 years. He became a character actor in Hollywood, appearing in over 60 films. He had a 50-year career as a working actor, and became well known for being in many hit movies that included Top Gun, Beverly Hills Cop, The Godfather Part 2, Midnight Run, and countless others. However, his proudest achievement by far was immortalizing the street he came from on the big screen.  In a true “local boy makes good” story, and his most significant and permanent contribution to 29th Street, he co-wrote and starred alongside Danny Aiello, Lainie Kazan and Anthony LaPaglia in his love letter to 29th Street, a movie which he of course named ""29th Street”.   The film earned critical acclaim, is a cult favorite that has been hailed as a modern day “It’s a Wonderful Life meets Goodfellas,” and is highly rated on Rotten Tomatoes. Being from 29th Street was a huge part of his identity, he absolutely adored the place and its people, and being able to put 29th Street on the map through a major studio film brought him tremendous joy and pride beyond his wildest dreams.  His epitaph includes one of his favorite quotes: “29th Street: They Make Movies About Guys Like Me.”",Manhattan,Street,1688313600000.0,Rivera,Between 2nd Avenue and 3rd Avenue,Frank Pesce Way,29th Street,10016.0,1376.0,Int. No. 897  ,,"40.742547976000054,-73.98027795099995|40.74171884300004,-73.97832530299993"
"Jean-Baptiste-Point Du Sable is recognized as the “Founder of Chicago” for being regarded as the first permanent non-indigenous settler of what later became known as Chicago. In the 1770’s, he went to the Great Lakes area of North America where he settled on the shore of Lake Michigan. He built a home near the north bank of the Chicago River, claimed approximately 800 acres of land, and created a thriving trading post which became major supply station for other traders in the Great Lakes area. He later moved to Missouri where he operated a ferry before he died. To honor its first citizen, a high school, museum, harbor, park and bridge in Chicago has been named after him and the place he settled near the Chicago River is a National Historic Landmark. ",Brooklyn,Street,1561996800000.0,Eugene,Between Empire Boulevard and Foster Avenue ,Jean-Baptiste-Point Du Sable Boulevard ,Flatbush Avenue ,11226.0,1377.0, Int. No.  1631,,"40.6630270900001,-73.96236691899998|40.66063842300008,-73.96075222899997|40.659576314000006,-73.96057520299995|40.65831885200002,-73.96050010199993|40.65646720700006,-73.96009776999993|40.654869010000056,-73.959713014|40.65198142400006,-73.95912313099998|40.64840890000005,-73.95826313899995|40.646516291000026,-73.95815012299997|40.64457325000008,-73.95799423499997|40.642657879000076,-73.95767507199997|40.63846898200003,-73.95359073099993"
"Rachel E. Spivey was the Executive Director of the Claremont Neighborhood Centers, Inc. for a number of years.  She received the 2002 New York State Woman of Distinction Award from State Senator Pedro Espada, Jr.  Ms. Spivey was also active with Bronx Community Board 3, The New York Yankees Advisory Board, 2nd Vice President of the Community Planning Board, and Chairman of the Health and Human Services Committee for Planning Board 3 and at Bronx Lebanon Hospital. ",Bronx,Street,1217606400000.0,Foster,Between Third Avenue and Webster Avenue , Ms. Rachel E. Spivey Boulevard  , East 169th Street   ,10456.0,1378.0,Int. No. 825		,,"40.833904891000046,-73.90853296699997|40.83304239800004,-73.90590708399999|40.832789644000044,-73.90513757199999"
"Rafael Tufiño was a painter and printmaker who was considered one of Puerto Rico’s most prominent cultural figures. He was known as the “Painter of the People” for his canvases and posters depicting traditional aspects of life on the island. He was born in Brooklyn and was an important presence in New York, where he was a mentor to Puerto Rican artists and served as a bridge to Puerto Rico’s traditions and aesthetics. After serving in the Army Signal Corps in Panama during World War II, he went to art school in Mexico under the G.I. Bill. Returning to Puerto Rico in the early 1950s, he became a member of Generación del Cincuenta, a group of young artists dedicated to forging an aesthetic identity for the island. He was a founder of Taller Boricua, a workshop and art collective started in East Harlem in 1970, and was also influential in the establishment of El Museo del Barrio in that neighborhood. His work was the subject of a major retrospective at the museum in 2003. His art, which can be seen on posters throughout Old San Juan, presents scenes of daily life in Puerto Rico such as work, dance, music and festivals in bright, Fauvist colors. His paintings, including landscapes, interiors and portraits, are in the collections of the Museum of Modern Art, the Metropolitan Museum of Art, the Library of Congress and the Galería Nacional in Puerto Rico. In 2003, he was given a lifetime achievement award by the National Arts Club in New York City. He created some of his best-known posters and prints during the ’50s, many for government-sponsored literacy and hygiene campaigns. ",Manhattan,Street,1375113600000.0,Mark-Viverito , From the west side of Third Avenue to the east side of Park Avenue , Rafael Tufiño Way  , East 103rd Street  ,10029.0,1379.0,Int. No. 1045-A		,,"40.789702506000054,-73.94622287199999|40.790293447000096,-73.94761225699996|40.790932766,-73.94911539999994"
"The following biographical material was provided by the Nigro family. 

Jonathan Nigro was born on September 8, 1973 at 1677 West 2nd Street in Brooklyn, His parents and grandparents before him had lived at 1677 West 2nd Street, since 1938. 

Jonathan attended P.S. 177 on West 1st Street and Avenue P, and Mark Twain Junior High School, Lafayette High Sschool and Saint Francis College, attaining his Bachelors of Business Administration. He was in the process of obtaining his Masters in Business Administration when he was stricken with Leukemia, halting his aspirations, his dreams and his life. 

Jonathan’s days were spent playing on the sidewalks and Streets in and around West 2nd Street. He rode his bicycle, skated, ran, jumped and played ball. He charmed the neighbors from his birth, his smile and warm hello filled their days. Jonathan was also a lifeguard and an all around athlete. During his 8th grade year at Mark Twain JHS, while on a school trip, he saved the life of another swimmer at the Olympic Dude Ranch. He received the Borough President’s Golden Citizen’s Award and won awards at his Graduation from Mark Twain for his Humanity and Citizenship. At Lafayette High School, he was on the Football and Baseball teams. He had many friends, both students and teachers alike. 

During his years at Saint Francis College, he learned how to ski and became an avid skier. He graduated with a Bachelors of Business Administration, which helped him as an Asset Trader at Fidelity. 

Jonathan Nigro died of Leukemia on May 3, 2000. He left a legacy of love, loyalty, friendship and good citizenship. He was a loving and loyal son, brother, grandson, nephew, and friend to the young and old. Children adored him, with is playful grin and his daring personality. Almost 4,000 people attended funeral services honoring Jonathan, which was an attestation to the legacy of love and loyalty that he left behind. He will be missed forever. 

Jonathan was survived by his beloved fiancé, Melissa Murphy, sister, Jennifer and her husband Joseph Cianciotta, parents, Ron and Ella, grandmother Jenny, and his Aunt Faye, Uncle Tony, and cousin Jaclyn, of West 2nd Street, as well, and many other family members and friends. Because of Jonathan’s sickness and the love he generated, almost 1,000 people were registered as Bone Marrow Donors and are presently on the list for Bone Marrow Transplantation. Monies were raised for Leukemia and a Leukemia Fund is in the process of being established at North Shore Hospital, benefiting the Bone Marrow Transplant Room. A scholarship was established in Jonathan’s name at Saint Francis College, which will address Bio-Medical Students entering research in the Medical Research Field. ",Brooklyn,Street,1030032000000.0,"Felder, Golden, DeBlasio, Nelson, Perkins and Recchia. ",from Avenue P to Quentin Road,Jonathan Nigro Place,West 2nd Street,11204.0,1380.0,Int. No. 76,,"40.60838335300009,-73.975893199|40.60645442300004,-73.97552256599991"
"Frank Durkan was born in County Mayo, Ireland and immigrated to New York in 1947.  He graduated from Colombia University in 1951 and New York Law School in 1953.  Shortly after graduating, he went to work at the law firm of O’Dwyer and Bernstein handling civil and criminal matters.  He represented members of the Provisional Irish Republican Army and also provided assistance, direction and legal services to many families who emigrated to Riverdale from Ireland.  He also played a key role as pro-bono counsel to Gaelic Park, he was president of the Mayo Football Club of New York and president of the Irish Institute.  Mr. Durkan was known and respected among the Irish community in New York.  He was also a founding member of the Brehon Law Society of the City of New York and the Irish American Unity Conference, both dedicated to working towards the extension of human rights in Northern Ireland.  In 1992, he helped organize Irish-Americans for Clinton-Gore with Congressman Bruce Morrison (D-CT), the co-sponsor of H.R. 4300 (Immigration Act of 1990), as its first Chairman.  After the election of President Bill Clinton, this group became Americans for a New Irish Agenda (ANIA), a less partisan and more inclusive organization that monitored the Clinton Administration’s Irish campaign promises, worked closely with the Ad Hoc Committee for Irish Affairs in Congress, and was a key player in the Northern Ireland peace process.  He was chairman of ANIA for four years when he was the Mayo Society of New York’s Millennium Honoree and ‘Mayo Man of the Year’ in 2000.    He was a central player on the U.S. end of the Northern Ireland Peace Process, particularly in his role as Chairman of the political pressure group Americans for a New Irish Agenda.  The papers reflect those activities, including the granting of a visa to Sinn Fein President Gerry Adams in 1994, the Good Friday Agreement in 1998, and decommissioning efforts down to 2002 as well as document his work as an attorney with O'Dwyer Bernstien in New York.  Mr. Durkan was widely consulted on deportation and extradition cases involving Irish Americans living in the United States and the collection documents the defense efforts mounted on behalf of his clients, particularly between 1991 and 2001.  When openly gay men and women were excluded from Manhattan’s St. Patrick’s Day parade, he refused to take part.  In 2004, Newsday reported that he marched instead in a parade of gay men and women in Queens. ",Bronx,Street,1343577600000.0,Koppell,Between West 240th Street to West 238th Street,Frank Durkan Way ,Tibbett Avenue ,10463.0,1381.0,Int. No. 935,,"40.88613469400005,-73.90243295299999|40.886925524000034,-73.90152636599998"
"Greg Jackson was considered by many as the unofficial mayor of Brownsville who devoted his career to the community’s improvement.  He was a star basketball player at Guilford College in North Carolina and was drafted by the New York Knicks in the 1974-75 season, finishing the season with the Phoenix Suns as a guard.  In 1997, he became the director of the Brownsville Recreation Center (BRC). Under his leadership, the BRC played host to world-renowned events and served as inspiration for the young men and women who passed through its doors.  He chaired the Reeves Drakeford Brownsville Jets, a youth basketball team, started in the summer of 1965 that was open to all who were willing to try and help others.  Each year, Greg and the Jets organized the Brownsville Oldtimers Week, which includes sporting events, a reunion night, and live entertainment.  Oldtimers Week unites the community through fun, games and music, and regularly draws over 35,000 people.  His efforts have earned him over 100 awards for his service. In 2010, he was honored with the W. Allison & Elizabeth Stubbs Davis Service Award, which was founded by former Parks Commissioner Gordon J. Davis to recognize Parks employees who show extraordinary dedication to the communities they serve.  He was also the Director of Brownsville Common Ground, an organization that seeks to limit homelessness.  ",Brooklyn,Street,1374854400000.0,Barron,  Between Mother Gaston Boulevard and Powell Street , Gregory “Jocko” Jackson Boulevard  , Linden Boulevard ,11212.0,1382.0,Int. No. 1045-A			,,"40.65545973600003,-73.90321250799995|40.655628552000046,-73.90283699900002|40.65580942500005,-73.902566791|40.65646056500004,-73.9015515249999|40.65658525200008,-73.90135711099994|40.656737053000064,-73.90118098999992|40.65713129300008,-73.90081242699996|40.657164735000066,-73.90078116299998"
"Carl Stubbs was very dedicated to fighting for rights of low-income communities. He was a member of VOCAL-NY, a grassroots organization that amplifies the voices of the marginalized to lead meaningful change. He advocated to end mass incarceration, the drug war, homelessness and the AIDS and hepatitis C epidemics. His advocacy work led to legislative reforms, increased funding for crucial programs and improved access to vital services for all New Yorkers. 
",Brooklyn,Street,1704128400000.0,Restler,Between 3rd Avenue and 4th Avenue,Carl Stubbs Way,Douglass Street,11217.0,1383.0,Int. No. 1278,,"40.680220715000075,-73.9840415369999|40.679396230000066,-73.98192795699998"
Benjamin Bruno served with the NYPD for five years and was assigned to the Highway Unit 3. He was killed in the line of duty while pursuing a speeding vehicle and struck the rear of the vehicle. ,Queens,Street,1723046400000.0,Paladino,Between 234th Street and the Cross Island Parkway , Patrolman Benjamin M. Bruno Way  ,Northern Boulevard   ,11362.0,1384.0,Int. No. 968	,,"40.764490084000045,-73.74704641399998|40.76435615500001,-73.74751927799994|40.76424630300005,-73.74796035199992|40.76405669500006,-73.74888621099994|40.76383247500005,-73.74989750299993|40.763651462,-73.75071391899996|40.763422253000016,-73.75174770699988|40.76314687600009,-73.75298971699998|40.76280918000001,-73.75457050699997|40.76270649500003,-73.75505118599992|40.762526578000084,-73.75586264299992|40.76231970500004,-73.75683533099992"
"Dave Reid Jr. was a community activist who served as a member of the governing board of the Bronx Ambulatory Care Network and the Advisory Board of Comprehensive Family Center of the Montefiore Medical Center.  He was chairperson of the Longfellow Block Association and Bronx Community Board 3.  He was instrumental in organizing the first tenant league at 1670 Longfellow Avenue and later became the 7A administrator to manage the building.  He received the Certificate of Appreciation from Governor Patterson for volunteering in City parks and also received numerous awards for community service.  He was very involved with Mt. Zion C.M.E. Church and served on the Steward Board, Trustee Board, Board of Evangelism, Senior Choir, Sons of Abraham and the Men’s Ministry.  He had a major leadership role in the planning, coordinating and development of the Rock Garden Park on Longfellow Avenue and won the prestigious NYC Arts Commission Award for Design in 1999.  He also received Recognition of Service from Mayor Bloomberg for volunteerism with NYC Parks, Rock Garden Park and Green Thumb as well as, Recognition of Service for Participation in the One Million Tree's Project.  ",Bronx,Street,1437580800000.0,Arroyo,Between 173rd Street and 174th Street , Dave Reid Jr. Place      ,Longfellow Avenue,10460.0,1385.0,Int. No. 620		,,"40.83610479700007,-73.88429711199997|40.83456701000005,-73.88522098499999"
Pastor Woodhouse received many certificates and awards for her dedication and commitment to the church and her community. She is responsible for forming the First Bible Church of the Lord’s Mission and the Woodhouse Bible School for religious education. ,Bronx,Street,1217433600000.0,Baez,On the corner of the Grand Concourse between 179th Street and East Burnside Avenue , Reverend Jessie Woodhouse Place   ,Bush Street   ,10457.0,1386.0,Int. No. 877-A		,,"40.851415891000045,-73.90297258|40.85160660200003,-73.90392476399998"
"Gloria A. Boyce served the central Brooklyn area for over forty years.  She was a member of the Brownsville Community Council Board, the Community Progress Center, the Marcus Garvey Urban Renewal and founded the LaVaughn Moore Day Care Center, in East New York, as well as the Northeast Brooklyn Block Association. ",Brooklyn,Street,1248969600000.0, Mealy ,Between Eastern Parkway and Van Sinderen Avenue,Mother Gloria A. Boyce Way ,Pitkin Avenue ,11212.0,1387.0,Int. No. 931-A,,"40.670930816000066,-73.90236813999996|40.66834712600009,-73.91984541399992|40.66851395000001,-73.92188389199998"
"The Pat LaFredia Meat Company was founded in 1912 and has been located on Leroy Street, between Washington Street and Greenwich Street, through four generations and more than 90 years. The company is a premier purveyor of meats and was the first in the industry to own a meat delivery truck. This co-naming of Leroy Street is in recognition of the company’s long-term commitment to its Lower-Manhattan Community. The company will place a plaque on the front of the its building explaining the history connected with the honorary street name. ",Manhattan,Street,1061568000000.0,Quinn,Between Washington Street and Greenwhich Street       ,Pat La Frieda Lane,Leroy Street   	,10014.0,1388.0,Int. No. 437-A			,,"40.73043719000007,-74.00898890299995|40.73036808300001,-74.008302257"
"Patsy Lancieri was the founder and longtime proprietor of Patsy’s Pizzeria, an East Harlem landmark that opened in 1933.  Over the years, Mr. Lancieri donated food from his restaurant to many community groups and entities, including “Each One Teach One”, “Youth Education Through Sports”, and the Manhattan Science Center. Patsy’s restaurant is considered as the leader and originator of the family style pizza restaurant and has been for the last 74 years. ",Manhattan,Street,1217606400000.0,Mark-Viverit,  Between 117th Street and 118th Street , Patsy Lancieri Way   , 1st Avenue,10035.0,1389.0,Int. No. 877-A			,,"40.79726581400003,-73.93450965799994|40.796741942000025,-73.93488516699996"
